0, 1
58.82797(354.7, 23.0, 1.2)
59.33835(352.4, 28.8, 0.3)
59.84927(351.3, 23.4, 3.0)
0, 5
0.3671265(351.2, 25.0, 3.5)
0.8775635(356.3, 13.1, 2.9)
1.388123(1.5, 299.9, 8.1)
1.888977(1.6, 247.9, 4.4)
2.399292(359.7, 196.8, 4.9)
2.899353(355.5, 179.4, 4.1)
3.410095(350.2, 180.5, 1.8)
3.921082(348.6, 184.2, 3.6)
4.431519(347.7, 185.6, 3.1)
4.941956(354.6, 184.5, 2.7)
5.4422(356.1, 182.5, 0.7)
5.952759(356.8, 184.9, 1.4)
6.453064(355.5, 185.3, 2.6)
6.963257(355.0, 186.5, 2.7)
7.474365(353.0, 187.6, 2.1)
7.985352(353.4, 188.3, 2.2)
8.496399(353.1, 188.9, 2.0)
9.007141(352.8, 189.5, 2.1)
9.517944(352.7, 189.8, 2.2)
10.02917(352.5, 190.6, 2.5)
10.53949(352.4, 190.9, 2.7)
11.05042(352.5, 191.1, 2.4)
11.5614(352.6, 191.7, 2.0)
12.07214(352.6, 192.4, 2.4)
12.57227(352.1, 193.5, 2.5)
13.08282(352.3, 193.7, 2.6)
13.58289(352.1, 193.8, 2.6)
14.08301(352.8, 193.2, 2.4)
14.59399(352.8, 193.2, 1.9)
15.10461(352.1, 193.6, 2.0)
15.61536(352.2, 193.4, 2.1)
16.11542(352.3, 193.4, 2.1)
16.62622(352.7, 193.5, 2.3)
17.1369(353.0, 193.6, 2.1)
17.64771(352.2, 193.7, 1.6)
18.1582(352.3, 194.4, 2.5)
18.65869(352.0, 194.1, 2.8)
19.16876(355.1, 193.2, 3.1)
19.67981(355.4, 191.8, 2.2)
20.1803(355.3, 192.8, 2.3)
20.69086(355.0, 192.6, 2.0)
21.20178(350.3, 192.2, 2.9)
21.71228(351.5, 193.0, 2.6)
22.21252(353.7, 194.0, 2.9)
22.7229(355.9, 190.9, 3.0)
23.23389(359.7, 183.6, 4.6)
23.74445(357.9, 185.7, 2.1)
24.25507(355.8, 187.0, 2.7)
24.75525(355.0, 188.5, 1.8)
25.26611(354.0, 191.2, 2.1)
25.77692(353.4, 193.4, 2.7)
26.2879(353.0, 193.4, 3.0)
26.79852(354.3, 193.7, 2.9)
27.30945(354.2, 194.1, 2.8)
27.82031(354.1, 194.5, 2.6)
28.32037(353.6, 195.5, 2.2)
28.83136(353.4, 195.5, 2.2)
29.34186(353.3, 193.0, 1.8)
29.85272(354.3, 190.8, 1.6)
30.36359(354.2, 192.7, 1.7)
30.86383(354.2, 193.5, 1.6)
31.36389(354.1, 193.5, 1.8)
31.87402(353.4, 194.1, 2.4)
32.37421(354.3, 192.6, 2.5)
32.88409(355.3, 192.2, 2.6)
33.3844(355.7, 181.5, 2.8)
33.89526(356.8, 160.5, 0.7)
34.40564(356.8, 137.6, 2.6)
34.90576(353.5, 136.6, 3.7)
35.41736(354.3, 171.9, 2.3)
35.92798(350.9, 182.1, 2.7)
36.43909(352.4, 180.5, 3.8)
36.94983(352.7, 181.3, 3.2)
37.46075(352.6, 181.6, 3.0)
37.9707(352.2, 181.3, 3.1)
38.47125(351.9, 181.2, 3.3)
38.97137(352.0, 181.3, 3.0)
39.48132(351.8, 181.9, 2.9)
39.99213(351.4, 182.0, 2.9)
40.49255(351.8, 184.0, 2.0)
41.0033(353.7, 181.8, 2.5)
41.51392(356.5, 176.4, 3.6)
42.02484(354.3, 177.7, 2.6)
42.53546(356.1, 172.1, 3.0)
43.04651(355.9, 160.5, 3.4)
43.55688(355.0, 144.0, 4.4)
44.05695(353.8, 150.0, 4.5)
44.55701(354.0, 160.3, 4.7)
45.06781(354.3, 191.9, 1.5)
45.57825(351.5, 201.1, 0.9)
46.08929(0.6, 209.5, 1.4)
46.6001(11.0, 200.0, 2.3)
47.11102(21.4, 183.2, 3.5)
47.61127(25.4, 168.2, 2.7)
48.1214(13.8, 159.7, 4.4)
48.6217(354.7, 168.3, 5.5)
49.13239(351.5, 198.7, 4.1)
49.64337(353.4, 195.0, 5.1)
50.15363(353.1, 155.5, 4.8)
50.65387(355.0, 138.6, 1.5)
51.16425(359.8, 142.3, 0.5)
51.66455(1.6, 166.6, 2.5)
52.17554(356.5, 182.5, 3.5)
52.68628(352.8, 180.0, 3.4)
53.19733(357.2, 179.5, 3.6)
53.70825(354.9, 177.5, 2.9)
54.21857(354.0, 179.2, 3.1)
54.72949(357.4, 181.2, 0.2)
55.24048(356.0, 180.6, 0.9)
55.75092(355.8, 177.5, 2.1)
56.2511(355.9, 175.9, 1.9)
56.76196(355.6, 175.7, 0.2)
57.27264(357.1, 174.9, 2.1)
57.78375(354.3, 175.8, 3.8)
58.29437(353.5, 181.4, 0.9)
58.80524(353.7, 181.5, 1.8)
59.3053(353.4, 181.1, 2.6)
59.8161(353.3, 180.8, 3.0)
60.32703(353.6, 180.3, 3.0)
60.83826(354.0, 178.4, 3.3)
61.34937(354.5, 178.4, 2.0)
61.85962(354.6, 178.7, 2.0)
62.37067(358.5, 179.5, 2.6)
62.87085(359.2, 178.9, 2.3)
63.38171(356.9, 178.7, 2.7)
