Subject,Device,Rho,Lambda,Display,Number_Collisions
9,19x31,500,1000,headset,2.1666666666666665
9,19x31,500,1000,monitor,2.0
9,19x31,500,5000,headset,1.3333333333333333
9,19x31,500,5000,monitor,1.8333333333333333
10,06x10,100,0050,headset,1.0
10,06x10,100,0050,monitor,0.6666666666666666
10,06x10,100,1000,headset,1.5
10,06x10,100,1000,monitor,1.6666666666666667
10,06x10,100,5000,headset,2.3333333333333335
10,06x10,100,5000,monitor,1.0
10,06x10,300,0050,headset,1.5
10,06x10,300,0050,monitor,1.8333333333333333
10,06x10,300,1000,headset,1.0
10,06x10,300,1000,monitor,1.0
10,06x10,300,5000,headset,1.1666666666666667
10,06x10,300,5000,monitor,1.1666666666666667
10,06x10,500,0050,headset,1.5
10,06x10,500,0050,monitor,0.8333333333333334
10,06x10,500,1000,headset,1.0
10,06x10,500,1000,monitor,1.6666666666666667
10,06x10,500,5000,headset,1.5
10,06x10,500,5000,monitor,2.0
10,10x16,100,0050,headset,1.6666666666666667
10,10x16,100,0050,monitor,1.3333333333333333
10,10x16,100,1000,headset,1.3333333333333333
10,10x16,100,1000,monitor,1.3333333333333333
10,10x16,100,5000,headset,1.1666666666666667
10,10x16,100,5000,monitor,1.5
10,10x16,300,0050,headset,0.8333333333333334
10,10x16,300,0050,monitor,0.3333333333333333
10,10x16,300,1000,headset,0.6666666666666666
10,10x16,300,1000,monitor,0.16666666666666666
10,10x16,300,5000,headset,2.0
10,10x16,300,5000,monitor,0.6666666666666666
10,10x16,500,0050,headset,1.8333333333333333
10,10x16,500,0050,monitor,0.8333333333333334
10,10x16,500,1000,headset,2.3333333333333335
10,10x16,500,1000,monitor,1.3333333333333333
10,10x16,500,5000,headset,2.5
10,10x16,500,5000,monitor,1.6666666666666667
10,19x31,100,0050,headset,1.1666666666666667
10,19x31,100,0050,monitor,0.3333333333333333
10,19x31,100,1000,headset,2.3333333333333335
10,19x31,100,1000,monitor,1.3333333333333333
10,19x31,100,5000,headset,1.8333333333333333
10,19x31,100,5000,monitor,1.5
10,19x31,300,0050,headset,0.6666666666666666
10,19x31,300,0050,monitor,0.6666666666666666
10,19x31,300,1000,headset,1.6666666666666667
10,19x31,300,1000,monitor,1.5
10,19x31,300,5000,headset,0.6666666666666666
10,19x31,300,5000,monitor,1.6666666666666667
10,19x31,500,0050,headset,1.6666666666666667
10,19x31,500,0050,monitor,1.0
10,19x31,500,1000,headset,2.1666666666666665
10,19x31,500,1000,monitor,1.3333333333333333
10,19x31,500,5000,headset,1.3333333333333333
10,19x31,500,5000,monitor,1.3333333333333333
11,06x10,100,0050,headset,1.3333333333333333
11,06x10,100,0050,monitor,1.6666666666666667
11,06x10,100,1000,headset,2.0
11,06x10,100,1000,monitor,1.1666666666666667
11,06x10,100,5000,headset,2.0
11,06x10,100,5000,monitor,1.0
11,06x10,300,0050,headset,1.1666666666666667
11,06x10,300,0050,monitor,1.6666666666666667
11,06x10,300,1000,headset,1.6666666666666667
11,06x10,300,1000,monitor,0.8333333333333334
11,06x10,300,5000,headset,1.1666666666666667
11,06x10,300,5000,monitor,1.1666666666666667
11,06x10,500,0050,headset,2.1666666666666665
11,06x10,500,0050,monitor,1.5
11,06x10,500,1000,headset,1.0
11,06x10,500,1000,monitor,1.8333333333333333
11,06x10,500,5000,headset,1.3333333333333333
11,06x10,500,5000,monitor,1.3333333333333333
11,10x16,100,0050,headset,0.6666666666666666
11,10x16,100,0050,monitor,1.0
11,10x16,100,1000,headset,1.1666666666666667
11,10x16,100,1000,monitor,1.3333333333333333
11,10x16,100,5000,headset,0.8333333333333334
11,10x16,100,5000,monitor,1.5
11,10x16,300,0050,headset,1.1666666666666667
11,10x16,300,0050,monitor,1.6666666666666667
11,10x16,300,1000,headset,0.8333333333333334
11,10x16,300,1000,monitor,1.6666666666666667
11,10x16,300,5000,headset,1.0
11,10x16,300,5000,monitor,1.5
11,10x16,500,0050,headset,1.0
11,10x16,500,0050,monitor,1.3333333333333333
11,10x16,500,1000,headset,1.0
11,10x16,500,1000,monitor,1.3333333333333333
11,10x16,500,5000,headset,0.8333333333333334
11,10x16,500,5000,monitor,1.0
11,19x31,100,0050,headset,0.8333333333333334
11,19x31,100,0050,monitor,1.1666666666666667
11,19x31,100,1000,headset,1.0
11,19x31,100,1000,monitor,1.6666666666666667
11,19x31,100,5000,headset,1.1666666666666667
11,19x31,100,5000,monitor,1.6666666666666667
11,19x31,300,0050,headset,0.8333333333333334
11,19x31,300,0050,monitor,2.0
11,19x31,300,1000,headset,1.5
11,19x31,300,1000,monitor,1.5
11,19x31,300,5000,headset,1.1666666666666667
11,19x31,300,5000,monitor,1.8333333333333333
11,19x31,500,0050,headset,1.0
11,19x31,500,0050,monitor,1.0
11,19x31,500,1000,headset,1.1666666666666667
11,19x31,500,1000,monitor,1.3333333333333333
11,19x31,500,5000,headset,1.3333333333333333
11,19x31,500,5000,monitor,1.1666666666666667
12,06x10,100,0050,headset,1.5
12,06x10,100,0050,monitor,2.1666666666666665
12,06x10,100,1000,headset,1.8333333333333333
12,06x10,100,1000,monitor,2.5
12,06x10,100,5000,headset,1.1666666666666667
12,06x10,100,5000,monitor,0.8333333333333334
12,06x10,300,0050,headset,2.0
12,06x10,300,0050,monitor,1.5
12,06x10,300,1000,headset,1.0
12,06x10,300,1000,monitor,1.0
12,06x10,300,5000,headset,1.1666666666666667
12,06x10,300,5000,monitor,1.5
12,06x10,500,0050,headset,1.6666666666666667
12,06x10,500,0050,monitor,1.5
12,06x10,500,1000,headset,2.1666666666666665
12,06x10,500,1000,monitor,1.1666666666666667
12,06x10,500,5000,headset,1.3333333333333333
12,06x10,500,5000,monitor,1.5
12,10x16,100,0050,headset,1.1666666666666667
12,10x16,100,0050,monitor,1.0
12,10x16,100,1000,headset,1.5
12,10x16,100,1000,monitor,1.1666666666666667
12,10x16,100,5000,headset,1.6666666666666667
12,10x16,100,5000,monitor,1.1666666666666667
12,10x16,300,0050,headset,1.3333333333333333
12,10x16,300,0050,monitor,1.3333333333333333
12,10x16,300,1000,headset,1.5
12,10x16,300,1000,monitor,1.1666666666666667
12,10x16,300,5000,headset,1.1666666666666667
12,10x16,300,5000,monitor,1.3333333333333333
12,10x16,500,0050,headset,1.6666666666666667
12,10x16,500,0050,monitor,1.6666666666666667
12,10x16,500,1000,headset,1.8333333333333333
12,10x16,500,1000,monitor,1.3333333333333333
12,10x16,500,5000,headset,1.3333333333333333
12,10x16,500,5000,monitor,1.3333333333333333
12,19x31,100,0050,headset,1.6666666666666667
12,19x31,100,0050,monitor,1.3333333333333333
12,19x31,100,1000,headset,1.6666666666666667
12,19x31,100,1000,monitor,1.8333333333333333
12,19x31,100,5000,headset,1.5
12,19x31,100,5000,monitor,1.3333333333333333
12,19x31,300,0050,headset,1.3333333333333333
12,19x31,300,0050,monitor,1.3333333333333333
12,19x31,300,1000,headset,1.5
12,19x31,300,1000,monitor,0.6666666666666666
12,19x31,300,5000,headset,2.0
12,19x31,300,5000,monitor,1.5
12,19x31,500,0050,headset,1.1666666666666667
12,19x31,500,0050,monitor,1.3333333333333333
12,19x31,500,1000,headset,1.6666666666666667
12,19x31,500,1000,monitor,1.3333333333333333
12,19x31,500,5000,headset,1.5
12,19x31,500,5000,monitor,1.1666666666666667
13,06x10,100,0050,headset,2.5
13,06x10,100,0050,monitor,2.0
13,06x10,100,1000,headset,1.5
13,06x10,100,1000,monitor,1.3333333333333333
13,06x10,100,5000,headset,2.0
13,06x10,100,5000,monitor,1.6666666666666667
13,06x10,300,0050,headset,1.1666666666666667
13,06x10,300,0050,monitor,2.8333333333333335
13,06x10,300,1000,headset,0.5
13,06x10,300,1000,monitor,1.6666666666666667
13,06x10,300,5000,headset,0.5
13,06x10,300,5000,monitor,1.8333333333333333
13,06x10,500,0050,headset,1.3333333333333333
13,06x10,500,0050,monitor,2.3333333333333335
13,06x10,500,1000,headset,1.1666666666666667
13,06x10,500,1000,monitor,1.3333333333333333
13,06x10,500,5000,headset,1.3333333333333333
13,06x10,500,5000,monitor,2.3333333333333335
13,10x16,100,0050,headset,1.3333333333333333
13,10x16,100,0050,monitor,2.3333333333333335
13,10x16,100,1000,headset,1.5
13,10x16,100,1000,monitor,1.3333333333333333
13,10x16,100,5000,headset,1.1666666666666667
13,10x16,100,5000,monitor,1.5
13,10x16,300,0050,headset,1.3333333333333333
13,10x16,300,0050,monitor,2.5
13,10x16,300,1000,headset,1.6666666666666667
13,10x16,300,1000,monitor,2.0
13,10x16,300,5000,headset,1.1666666666666667
13,10x16,300,5000,monitor,1.6666666666666667
13,10x16,500,0050,headset,1.0
13,10x16,500,0050,monitor,2.1666666666666665
13,10x16,500,1000,headset,1.0
13,10x16,500,1000,monitor,1.6666666666666667
13,10x16,500,5000,headset,0.8333333333333334
13,10x16,500,5000,monitor,1.5
13,19x31,100,0050,headset,1.6666666666666667
13,19x31,100,0050,monitor,2.1666666666666665
13,19x31,100,1000,headset,1.6666666666666667
13,19x31,100,1000,monitor,1.6666666666666667
13,19x31,100,5000,headset,1.1666666666666667
13,19x31,100,5000,monitor,1.0
13,19x31,300,0050,headset,0.6666666666666666
13,19x31,300,0050,monitor,2.1666666666666665
13,19x31,300,1000,headset,1.1666666666666667
13,19x31,300,1000,monitor,1.8333333333333333
13,19x31,300,5000,headset,0.5
13,19x31,300,5000,monitor,1.3333333333333333
13,19x31,500,0050,headset,0.5
13,19x31,500,0050,monitor,1.8333333333333333
13,19x31,500,1000,headset,1.1666666666666667
13,19x31,500,1000,monitor,1.8333333333333333
13,19x31,500,5000,headset,1.0
13,19x31,500,5000,monitor,2.0
14,06x10,100,0050,headset,0.8333333333333334
14,06x10,100,0050,monitor,1.3333333333333333
14,06x10,100,1000,headset,0.8333333333333334
14,06x10,100,1000,monitor,2.0
14,06x10,100,5000,headset,1.0
14,06x10,100,5000,monitor,2.0
14,06x10,300,0050,headset,0.6666666666666666
14,06x10,300,0050,monitor,1.3333333333333333
14,06x10,300,1000,headset,0.6666666666666666
14,06x10,300,1000,monitor,1.6666666666666667
14,06x10,300,5000,headset,1.1666666666666667
14,06x10,300,5000,monitor,1.8333333333333333
14,06x10,500,0050,headset,1.3333333333333333
14,06x10,500,0050,monitor,2.3333333333333335
14,06x10,500,1000,headset,1.6666666666666667
14,06x10,500,1000,monitor,1.5
14,06x10,500,5000,headset,0.8333333333333334
14,06x10,500,5000,monitor,2.1666666666666665
14,10x16,100,0050,headset,0.3333333333333333
14,10x16,100,0050,monitor,2.3333333333333335
14,10x16,100,1000,headset,0.0
14,10x16,100,1000,monitor,1.5
14,10x16,100,5000,headset,1.3333333333333333
14,10x16,100,5000,monitor,1.6666666666666667
14,10x16,300,0050,headset,0.6666666666666666
14,10x16,300,0050,monitor,0.3333333333333333
14,10x16,300,1000,headset,0.16666666666666666
14,10x16,300,1000,monitor,0.5
14,10x16,300,5000,headset,0.5
14,10x16,300,5000,monitor,1.0
14,10x16,500,0050,headset,0.3333333333333333
14,10x16,500,0050,monitor,1.1666666666666667
14,10x16,500,1000,headset,0.0
14,10x16,500,1000,monitor,1.8333333333333333
14,10x16,500,5000,headset,0.6666666666666666
14,10x16,500,5000,monitor,1.8333333333333333
14,19x31,100,0050,headset,0.0
14,19x31,100,0050,monitor,2.0
14,19x31,100,1000,headset,0.3333333333333333
14,19x31,100,1000,monitor,1.5
14,19x31,100,5000,headset,0.8333333333333334
14,19x31,100,5000,monitor,2.1666666666666665
14,19x31,300,0050,headset,0.0
